t,y
1.9422,7.18686
1.9436,7.19491
1.945,7.20296
1.9464,7.21101
1.9478,7.21906
1.9492,7.22711
1.9506,7.23516
1.952,7.24321
1.9534,7.25126
1.9548,7.2593
1.9562,7.26735
1.9576,7.2754
1.959,7.28345
1.9604,7.2915
1.9618,7.29955
1.9632,7.3076
1.9646,7.31565
1.966,7.3237
1.9674,7.33174
1.9688,7.33979
1.9702,7.34784
1.9716,7.35589
1.973,7.36394
1.9744,7.37199
1.9758,7.38004
1.9772,7.38809
1.9786,7.39613
1.98,7.40418
1.9814,7.41223
1.9828,7.42028
1.9842,7.42833
1.9856,7.43638
1.987,7.44443
1.9884,7.45248
1.9898,7.46053
1.9912,7.46857
1.9926,7.47662
1.994,7.48467
1.9954,7.49272
1.9968,7.50077
1.9982,7.50882
1.9996,7.51687
2.001,7.52492
2.0024,7.53296
2.0038,7.54101
2.0052,7.54906
2.0066,7.55711
2.008,7.56516
2.0094,7.57321
2.0108,7.58126
2.0122,7.58931
2.0136,7.59736
2.015,7.6054
2.0164,7.61345
2.0178,7.6215
2.0192,7.62955
2.0206,7.6376
2.022,7.64565
2.0234,7.6537
2.0248,7.66175
2.0262,7.6698
2.0276,7.67784
2.029,7.68589
2.0304,7.69394
2.0318,7.70199
2.0332,7.71004
2.0346,7.71809
2.036,7.72614
2.0374,7.73419
2.0388,7.74223
2.0402,7.75028
2.0416,7.75833
2.043,7.76638
2.0444,7.77443
2.0458,7.78248
2.0472,7.79053
2.0486,7.79858
2.05,7.80663
2.0514,7.81467
2.0528,7.82272
2.0542,7.83077
2.0556,7.83882
2.057,7.84687
2.0584,7.85492
2.0598,7.86297
2.0612,7.87102
2.0626,7.87906
2.064,7.88711
2.0654,7.89516
2.0668,7.90321
2.0682,7.91126
2.0696,7.91931
2.071,7.92736
2.0724,7.93541
2.0738,7.94346
2.0752,7.9515
2.0766,7.95955
2.078,7.9676
2.0794,7.97565
2.0808,7.9837
2.0822,7.99175
2.0836,7.9998
2.085,8.00785
2.0864,8.0159
2.0878,8.02394
2.0892,8.03199
2.0906,8.04004
2.092,8.04809
2.0934,8.05614
2.0948,8.06419
2.0962,8.07224
2.0976,8.08029
2.099,8.08833
2.1004,8.09638
2.1018,8.10443
2.1032,8.11248
2.1046,8.12053
2.106,8.12858
2.1074,8.13663
2.1088,8.14468
2.1102,8.15273
2.1116,8.16077
2.113,8.16882
2.1144,8.17687
2.1158,8.18492
2.1172,8.19297
2.1186,8.20102
2.12,8.20907
2.1214,8.21712
2.1228,8.22516
2.1242,8.23321
2.1256,8.24126
2.127,8.24931
2.1284,8.25736
2.1298,8.26541
2.1312,8.27346
2.1326,8.28151
2.134,8.28956
2.1354,8.2976
2.1368,8.30565
2.1382,8.3137
2.1396,8.32175
2.141,8.3298
2.1424,8.33785
2.1438,8.3459
2.1452,8.35395
2.1466,8.36199
2.148,8.37004
2.1494,8.37809
2.1508,8.38614
2.1522,8.39419
2.1536,8.40224
2.155,8.41029
2.1564,8.41834
2.1578,8.42639
2.1592,8.43443
2.1606,8.44248
2.162,8.45053
2.1634,8.45858
2.1648,8.46663
2.1662,8.47468
2.1676,8.48273
2.169,8.49078
2.1704,8.49883
2.1718,8.50687
2.1732,8.51492
2.1746,8.52297
2.176,8.53102
2.1774,8.53907
2.1788,8.54712
2.1802,8.55517
2.1816,8.56322
2.183,8.57126
2.1844,8.57931
2.1858,8.58736
2.1872,8.59541
2.1886,8.60346
2.19,8.61151
2.1914,8.61956
2.1928,8.62761
2.1942,8.63566
2.1956,8.6437
2.197,8.65175
2.1984,8.6598
2.1998,8.66785
2.2012,8.6759
2.2026,8.68395
2.204,8.692
2.2054,8.70005
2.2068,8.70809
2.2082,8.71614
2.2096,8.72419
2.211,8.73224
2.2124,8.74029
2.2138,8.74834
2.2152,8.75639
2.2166,8.76444
2.218,8.77249
2.2194,8.78053
2.2208,8.78858
2.2222,8.79663
2.2236,8.80468
2.225,8.81273
2.2264,8.82078
2.2278,8.82883
2.2292,8.83688
2.2306,8.84493
2.232,8.85297
2.2334,8.86102
2.2348,8.86907
2.2362,8.87712
2.2376,8.88517
2.239,8.89322
2.2404,8.90127
2.2418,8.90932
2.2432,8.91736
2.2446,8.92541
2.246,8.93346
2.2474,8.94151
2.2488,8.94956
2.2502,8.95761
2.2516,8.96566
2.253,8.97371
2.2544,8.98176
2.2558,8.9898
2.2572,8.99785
2.2586,9.0059
2.26,9.01395
2.2614,9.022
2.2628,9.03005
2.2642,9.0381
2.2656,9.04615
2.267,9.05419
2.2684,9.06224
2.2698,9.07029
2.2712,9.07834
2.2726,9.08639
2.274,9.09444
2.2754,9.10249
2.2768,9.11054
2.2782,9.11859
2.2796,9.12663
2.281,9.13468
2.2824,9.14273
2.2838,9.15078
2.2852,9.15883
2.2866,9.16688
2.288,9.17493
2.2894,9.18298
2.2908,9.19103
2.2922,9.19907
2.2936,9.20712
2.295,9.21517
2.2964,9.22322
2.2978,9.23127
2.2992,9.23932
2.3006,9.24737
2.302,9.25542
2.3034,9.26346
2.3048,9.27151
2.3062,9.27956
2.3076,9.28761
2.309,9.29566
2.3104,9.30371
2.3118,9.31176
2.3132,9.31981
2.3146,9.32786
2.316,9.3359
2.3174,9.34395
2.3188,9.352
2.3202,9.36005
2.3216,9.3681
2.323,9.37615
2.3244,9.3842
2.3258,9.39225
2.3272,9.40029
2.3286,9.40834
2.33,9.41639
2.3314,9.42444
2.3328,9.43249
2.3342,9.44054
2.3356,9.44859
2.337,9.45664
2.3384,9.46469
2.3398,9.47273
2.3412,9.48078
2.3426,9.48883
2.344,9.49688
2.3454,9.50493
2.3468,9.51298
2.3482,9.52103
2.3496,9.52908
2.351,9.53713
2.3524,9.54517
2.3538,9.55322
2.3552,9.56127
2.3566,9.56932
2.358,9.57737
